"blackout shade","multi-use screwdriver","shovel","vacuum sealer","tool set","humidifier","air mattress","clothing iron","hairdryer","wireless receiver","fireextinguisher","toolbox","bike pump","snow shovel","coffee maker","pressure cooker","thermos","growler","travel mug","food thermometer","usb battery","blender","knife sharpener","electric kettle","electric toothbrush","toaster","carbonator","lumbar pillow","backpack","rainjacket","casserole pan","portable speaker","bluetooth keyfinder","smartphone tripod","portable gas grill","smart bathroom scale","christmas tree stand","drone for beginners","external harddrive","portable ice maker","cat bed","dog coat","bluetooth headphones","white noise machine","Amazon echo","sheet set","space heater","handheld vacuum","bath towel","sunrise alarm clock"
15,0,0,29,0,15,25,10,7,34,13,0,9,0,50,15,10,35,19,20,30,10,0,30,5,15,25,1,0,9,0,30,30,1,20,29,5,6,51,35,0,30,40,10,45,9,35,25,1,27
20,8,19,40,23,80,85,40,16,20,50,40,9,25,51,60,7,20,25,12,25,43,20,60,45,35,30,15,40,30,9,40,30,10,60,40,40,40,70,60,15,20,80,21,50,25,40,45,20,40
62,88,83,60,22,78,85,39,67,78,19,77,84,88,25,89,21,87,21,87,16,20,29,82,87,44,74,69,68,85,14,65,15,85,65,98,20,69,77,10,66,67,82,31,67,7,82,83,19,71
77,68,94,85,68,93,77,73,69,76,78,69,75,81,80,87,76,86,71,71,65,80,71,84,73,81,84,76,78,76,98,78,81,76,70,82,79,90,74,79,69,75,76,80,65,90,75,78,85,85
70,10,31,4,40,10,11,14,9,29,34,2,6,30,30,8,10,10,31,8,56,19,40,4,45,30,11,9,26,39,24,10,7,5,30,29,7,8,4,4,1,39,24,19,60,61,41,61,35,34
95,99,89,88,87,100,92,93,96,85,95,94,90,92,100,95,83,96,89,100,96,92,89,91,93,92,100,98,83,95,90,88,90,90,88,96,91,83,92,90,97,87,94,93,84,91,100,100,100,92
0,0,5,0,25,15,30,5,5,20,0,5,5,5,15,30,15,0,4,5,30,15,4,5,5,10,25,15,20,25,5,25,0,5,15,15,10,0,35,0,0,0,30,0,35,10,0,15,0,10
5,10,10,9,10,25,60,15,5,15,30,10,0,15,10,30,10,30,5,10,5,10,30,10,10,10,20,5,10,20,15,10,0,5,25,25,3,25,15,70,0,5,15,10,15,25,10,25,7,5
35,5,10,40,20,30,40,15,15,25,25,40,10,15,40,60,10,20,15,10,30,20,15,20,30,20,25,15,25,61,15,30,20,10,51,40,20,40,60,25,15,16,40,16,40,40,20,20,15,20
8,9,28,39,51,51,60,10,17,19,36,17,13,27,51,40,9,30,8,17,17,13,19,38,7,20,51,16,29,51,19,16,40,19,30,15,17,18,19,45,21,23,21,51,31,9,30,37,9,16
13,2,9,0,20,7,0,20,23,3,3,11,8,9,28,11,2,1,5,5,20,8,3,3,10,4,1,3,17,30,15,10,4,0,10,11,0,15,16,0,0,7,24,11,4,13,10,6,11,9
56,10,32,70,29,19,60,25,41,28,45,33,30,32,55,58,31,5,27,9,54,60,30,32,23,29,30,12,29,66,16,60,10,37,55,30,10,24,81,35,53,20,64,39,20,23,30,28,38,12
25,9,15,30,18,30,30,15,18,25,15,25,15,14,40,20,15,15,25,20,15,25,10,26,25,15,20,19,35,55,16,30,10,10,40,20,10,60,60,9,20,10,40,20,0,25,19,24,10,20
31,31,15,40,63,45,100,22,30,85,18,31,40,7,32,37,11,15,11,49,31,38,25,37,15,37,33,52,60,67,31,37,73,51,66,67,9,38,51,33,11,41,74,51,51,25,51,20,23,27
5,10,7,3,21,43,37,7,10,13,12,10,16,11,7,9,12,14,19,8,13,24,7,26,25,32,0,14,36,39,14,17,26,4,7,5,7,33,16,0,2,35,35,12,18,14,13,38,17,4
31,65,16,88,22,74,98,79,52,68,77,75,35,18,87,80,27,31,13,31,64,51,27,52,34,68,70,31,67,74,14,28,52,35,40,41,36,86,88,56,29,50,89,76,45,79,27,75,21,26
9,29,20,30,54,35,29,29,30,29,20,40,41,30,29,29,30,29,10,30,19,20,30,29,20,20,29,30,29,20,30,29,30,11,40,30,30,59,73,60,30,19,0,40,40,19,19,20,20,30
84,92,82,90,84,84,91,84,87,86,76,86,87,78,94,88,81,79,86,89,89,100,97,78,77,79,81,91,84,88,82,88,91,90,85,91,82,78,83,83,79,91,87,88,90,73,85,90,84,89
20,6,4,0,20,0,0,0,2,11,20,20,1,19,9,19,0,0,0,9,8,0,0,0,0,0,1,0,20,30,0,20,9,0,14,20,0,0,70,0,0,0,20,0,10,20,10,20,10,0
93,72,27,25,86,15,3,68,24,63,73,32,73,19,81,25,77,22,31,48,91,29,81,72,68,84,81,78,28,62,65,77,92,70,100,94,82,84,70,84,10,32,81,22,100,77,14,67,20,34
91,75,42,56,60,76,60,70,72,41,36,74,60,85,75,26,65,77,94,60,89,100,75,73,36,77,58,82,65,34,44,22,76,32,73,76,72,34,67,72,69,70,81,76,31,93,25,77,85,52
14,10,10,70,24,100,40,15,15,30,70,31,15,30,80,45,10,25,10,10,10,35,20,25,23,35,35,11,20,19,10,15,15,15,40,30,19,40,65,40,19,15,25,19,35,26,25,30,5,15
12,10,0,100,80,0,27,28,26,25,16,70,8,24,86,75,10,29,29,10,20,69,21,31,30,32,77,0,51,13,33,29,50,34,100,51,0,0,28,76,0,0,75,60,100,39,20,23,51,78
23,12,8,29,5,16,21,9,19,21,12,4,13,6,17,31,5,7,11,6,16,9,10,15,14,21,4,15,10,14,14,12,19,7,13,32,11,7,11,9,8,1,13,11,24,24,18,23,12,20
10,12,22,9,45,44,65,18,4,24,25,18,13,4,41,25,27,17,8,19,66,16,6,59,58,8,12,18,18,49,17,22,15,7,55,24,5,8,72,14,2,1,42,37,20,47,38,21,13,25
30,18,6,17,30,12,57,7,13,8,11,19,7,5,45,10,25,8,15,5,25,33,13,25,25,10,7,18,7,56,12,32,23,6,24,8,5,19,43,8,34,14,45,4,46,12,54,30,14,10
20,9,14,19,40,25,32,20,23,27,40,40,10,15,20,30,14,19,17,9,20,20,9,24,25,21,21,20,24,35,10,29,20,10,42,30,20,40,22,30,13,14,40,20,51,19,25,30,19,13
41,20,28,30,76,30,62,30,22,30,29,31,7,19,30,82,25,19,19,21,61,38,30,41,19,40,9,15,21,91,20,20,20,10,91,24,20,80,40,35,12,12,39,29,84,41,30,60,19,10
13,10,4,25,22,18,39,15,6,25,25,40,9,5,60,42,19,26,7,16,31,20,21,28,17,22,24,35,20,88,16,41,23,11,51,10,22,23,61,22,20,42,47,9,24,10,17,14,12,22
59,11,25,0,50,10,90,4,14,40,10,10,6,30,90,35,30,5,45,34,10,22,15,20,0,3,0,70,15,85,10,15,0,0,25,40,0,40,29,5,0,0,27,58,0,80,80,20,64,35
14,5,20,60,30,59,61,20,15,20,20,15,20,15,90,30,10,10,10,10,15,20,15,40,34,20,20,9,20,50,13,19,20,5,70,20,5,40,52,60,15,15,19,20,80,19,15,30,10,15
31,20,25,10,35,45,15,8,3,25,20,45,5,20,60,40,15,13,10,20,35,20,15,20,29,23,10,7,25,60,20,20,25,10,30,4,10,45,50,35,30,2,40,5,55,20,15,15,25,10
15,7,10,40,15,40,70,25,30,10,25,20,10,20,40,25,3,8,5,3,8,20,20,15,10,25,25,10,60,70,10,10,6,10,50,30,20,30,50,30,20,15,30,10,40,25,60,30,5,10
11,4,5,30,0,30,20,10,0,15,20,0,0,15,10,40,4,5,12,14,4,0,10,10,20,10,25,0,5,30,4,14,10,9,20,15,0,20,70,0,0,0,25,15,0,21,15,9,19,20
70,14,40,60,65,80,100,35,40,45,55,35,25,25,65,71,40,20,10,15,45,60,60,70,12,55,45,25,35,35,15,30,71,30,100,50,40,80,80,55,30,25,90,50,40,30,85,70,20,30
30,20,30,25,40,35,60,10,29,40,30,20,20,35,30,65,25,15,15,30,40,25,40,40,15,40,40,35,50,60,35,50,50,35,60,35,25,25,60,40,20,40,30,20,65,35,30,40,20,20
21,14,11,30,30,32,27,34,20,32,28,44,12,19,48,40,28,9,13,6,12,42,19,21,34,26,14,14,21,41,27,46,45,11,37,31,10,70,70,33,9,11,56,14,54,71,14,34,16,10
40,10,14,18,24,30,95,30,25,23,40,50,15,25,60,45,13,8,6,20,16,40,45,35,25,22,28,20,30,60,33,39,22,35,90,25,9,60,24,60,20,20,80,12,40,14,18,70,15,14
35,5,15,20,20,50,20,10,20,0,10,25,10,0,25,20,10,12,15,10,20,25,5,25,25,0,30,10,25,30,15,30,15,8,30,15,5,30,55,25,12,15,30,15,20,20,20,15,10,20
20,15,3,10,31,0,14,6,0,0,12,0,10,0,20,51,14,10,5,20,60,42,7,10,10,10,9,0,51,40,10,39,11,0,24,10,0,30,0,18,0,0,63,10,0,15,2,41,6,0
40,20,40,60,20,30,60,60,20,30,40,20,40,60,30,60,40,15,20,20,10,60,40,20,20,60,30,40,10,40,40,30,30,60,40,30,40,40,60,30,20,10,30,40,70,30,20,80,20,30
21,2,6,21,12,12,19,18,9,23,17,16,12,0,14,40,9,10,7,11,15,15,10,13,40,15,21,20,23,30,11,14,15,4,27,24,0,26,50,20,9,5,26,25,20,15,19,14,7,13
24,13,8,35,34,23,29,6,0,19,4,19,14,13,0,19,1,14,9,8,23,14,19,18,9,2,8,14,4,42,14,13,34,6,40,1,0,0,9,87,13,12,30,11,66,19,24,30,9,19
11,8,20,18,30,15,30,10,20,10,40,18,15,15,12,35,7,15,12,20,11,20,12,14,8,19,25,10,19,25,12,15,10,7,40,18,10,20,20,25,12,25,20,18,18,20,14,15,10,10
19,23,23,30,25,48,59,30,27,40,22,24,37,19,46,63,30,19,11,32,22,22,28,36,31,35,41,34,31,71,19,30,27,20,54,25,22,27,79,28,21,31,82,25,36,29,61,67,21,19
45,25,15,0,5,60,0,15,5,5,20,0,0,35,20,5,15,20,15,5,20,0,15,25,0,20,0,55,35,35,0,0,0,0,0,45,0,0,85,0,35,0,40,35,20,35,45,15,25,10
20,14,5,29,20,44,60,10,15,0,19,12,10,21,68,59,9,6,10,15,9,33,9,9,51,19,22,25,27,31,32,10,0,4,64,30,28,51,68,0,0,0,20,14,40,31,30,32,10,30
35,15,30,24,45,30,50,35,30,30,25,30,20,20,60,90,20,25,30,20,40,40,25,30,20,30,40,15,35,65,33,30,13,20,70,20,10,90,80,20,25,30,75,28,40,44,20,75,30,20
10,8,12,35,30,35,30,20,20,20,20,10,20,12,20,40,13,15,11,15,45,16,18,30,20,20,15,9,30,50,10,25,15,14,61,45,7,53,75,25,15,30,51,10,40,25,35,21,8,23
29,10,20,25,30,32,51,20,15,20,20,35,20,25,25,51,20,20,40,10,15,20,10,25,20,20,51,15,51,50,15,30,15,15,70,20,9,60,61,25,25,20,50,30,35,20,30,40,15,29
30,81,64,32,20,28,12,0,11,34,75,78,74,24,83,100,80,32,100,100,89,95,22,83,28,10,24,76,66,67,29,100,68,100,73,68,27,77,84,100,65,0,100,73,93,0,100,33,70,34
1,1,10,4,10,1,7,2,1,1,18,2,12,1,1,1,3,0,2,5,10,1,7,1,1,2,1,1,51,27,4,1,1,1,1,1,1,0,12,1,2,1,22,0,1,1,1,3,2,1
20,12,25,25,60,65,100,30,15,30,15,35,8,15,35,45,25,10,6,10,20,30,30,40,25,30,35,20,35,60,10,35,30,10,90,55,20,80,65,35,25,25,70,40,30,10,40,50,4,25
79,83,77,63,91,88,77,88,91,81,70,85,86,94,89,84,85,98,89,89,89,80,73,77,69,83,84,81,79,94,83,91,89,85,88,82,91,84,79,83,75,79,97,82,95,88,76,82,73,79
47,29,14,42,36,29,59,19,31,39,10,44,34,39,28,55,30,11,11,39,28,20,20,13,57,32,11,9,63,57,34,40,28,7,23,52,24,20,29,26,35,13,25,4,59,45,28,45,21,65
41,9,21,77,70,35,85,30,24,40,40,30,75,15,60,66,20,43,21,25,31,36,30,76,41,35,60,40,61,100,23,39,13,77,86,82,31,85,99,61,29,42,69,91,25,61,55,19,14,63
19,10,0,15,20,10,60,5,41,20,10,10,0,0,71,50,10,30,25,20,50,71,0,15,20,40,30,30,20,80,15,9,60,20,0,9,0,10,70,20,10,10,80,25,40,20,9,50,20,50
0,3,0,4,10,30,20,0,0,15,5,6,5,5,10,30,5,3,5,5,2,10,3,25,10,15,5,7,0,20,5,10,5,5,15,10,5,10,30,0,10,0,10,0,20,10,20,10,5,2
25,8,13,14,15,30,35,15,34,14,14,10,0,0,25,40,9,5,15,5,20,20,8,5,15,20,20,5,15,36,15,15,7,5,30,20,10,4,39,17,5,30,35,16,50,51,25,30,10,0
15,5,40,30,75,45,30,25,45,25,45,20,10,30,60,45,10,15,20,5,40,40,35,35,15,25,30,35,20,25,10,35,20,20,80,40,20,85,35,65,15,15,45,25,60,15,35,65,10,25
20,9,0,0,10,40,29,0,0,5,0,0,0,5,0,30,5,0,0,14,20,10,0,6,17,5,0,10,15,50,14,10,8,0,14,10,0,0,0,0,0,5,13,20,20,20,6,9,10,0
0,20,6,30,20,0,30,30,0,30,40,10,0,0,30,51,0,0,0,20,0,30,25,40,20,10,20,15,0,10,20,10,30,0,40,40,0,25,40,50,0,10,40,30,20,20,20,35,8,20
15,10,10,20,31,15,50,14,14,10,29,12,6,15,20,27,6,8,5,15,10,8,8,8,5,33,15,5,12,30,13,6,10,5,42,19,9,18,5,20,6,8,19,14,9,15,15,19,5,6
58,65,62,66,62,64,62,61,63,69,60,73,60,64,71,68,62,65,55,66,59,54,66,70,65,64,60,64,60,63,58,58,68,55,67,67,64,62,57,57,63,62,64,69,65,57,63,62,56,61
30,24,37,82,73,41,40,9,36,38,41,71,10,27,68,77,19,40,30,9,32,45,24,33,87,43,33,35,76,71,41,64,30,10,80,55,25,20,71,37,24,39,70,69,91,57,60,44,43,6
20,18,9,0,0,62,31,33,0,0,17,32,40,17,0,61,0,15,35,10,35,0,28,0,16,31,0,0,86,21,17,32,23,1,8,61,24,51,0,0,0,0,67,24,65,42,40,35,28,0
8,16,10,71,40,45,40,25,21,41,20,30,12,31,21,92,15,10,18,14,26,20,29,41,70,35,41,31,9,81,40,36,28,20,70,19,10,61,92,71,0,4,65,30,82,20,61,30,20,9
4,10,11,16,19,21,18,7,11,10,18,9,32,2,6,30,8,12,27,22,20,12,11,20,15,20,11,14,39,19,16,10,9,18,9,22,1,18,36,9,0,0,23,4,15,18,16,10,5,12
4,4,10,4,30,20,18,15,3,16,18,10,7,3,12,8,11,5,2,5,24,9,4,14,48,14,3,7,13,13,14,11,15,0,20,12,3,6,75,25,1,6,10,4,21,18,51,30,7,4
51,40,23,64,62,51,40,51,60,50,39,51,50,50,60,51,62,40,69,40,50,59,50,50,61,40,38,60,49,51,51,68,51,72,50,51,51,61,51,40,50,60,51,39,51,50,31,51,60,61
18,10,8,31,51,32,51,35,16,22,18,15,51,51,14,27,2,4,51,8,36,41,26,25,62,8,29,17,21,34,11,5,22,88,82,32,51,75,63,49,29,51,29,26,73,51,51,33,51,4
18,10,10,45,35,20,30,15,17,40,10,25,19,10,36,20,15,13,10,17,22,25,8,25,15,16,27,30,20,30,10,50,28,25,61,20,11,15,61,44,15,10,58,33,30,19,25,35,11,45
17,4,8,53,40,67,84,19,17,38,15,30,11,17,91,88,8,5,9,22,19,19,18,70,41,17,77,32,29,40,40,24,23,18,67,58,8,33,60,35,16,30,37,32,32,43,35,30,4,12
62,38,40,64,66,73,62,69,71,55,66,67,70,19,72,81,60,43,67,45,36,38,37,61,41,40,40,62,59,68,71,28,61,66,67,33,66,60,94,70,70,69,63,78,66,39,36,70,39,40
11,3,6,9,13,7,17,9,5,5,14,9,6,9,10,47,10,6,9,5,12,7,4,8,34,7,5,8,9,10,2,15,7,6,15,7,4,11,62,6,1,4,15,9,10,8,12,9,7,5
30,5,9,1,10,25,25,0,0,76,51,30,5,8,9,30,10,14,2,16,20,25,20,8,15,20,56,0,40,70,15,16,13,0,65,10,0,29,100,20,0,0,60,0,39,40,14,35,10,4
43,2,5,30,73,14,91,21,51,34,51,10,15,6,51,100,73,8,11,9,28,51,4,51,33,19,39,27,17,51,8,8,4,11,75,30,25,91,23,97,19,9,51,40,70,9,31,52,7,51
39,30,31,40,31,40,51,19,9,4,21,9,0,0,0,30,20,30,15,8,9,0,21,35,0,0,29,18,30,44,25,30,15,0,0,24,0,0,60,0,19,0,13,11,61,30,30,35,25,0
35,14,19,23,25,40,66,30,19,24,34,30,29,30,40,40,19,19,14,13,19,30,40,29,30,30,19,20,40,62,29,24,29,14,71,19,20,19,40,40,4,24,29,30,19,30,29,29,19,20
45,15,30,60,41,40,75,20,20,20,40,15,25,25,40,60,10,20,30,25,25,30,10,30,30,20,20,10,20,90,15,50,24,15,41,40,10,30,80,70,0,30,70,30,60,40,20,25,20,85
40,85,50,75,40,50,60,65,40,30,75,40,25,15,25,65,25,25,45,35,45,80,55,35,85,75,40,55,70,75,60,30,45,55,65,70,30,30,75,45,15,45,40,25,60,65,65,70,65,55
0,5,0,20,20,20,0,5,3,0,15,10,0,5,0,30,3,5,3,10,15,10,5,20,10,10,0,20,3,10,15,5,0,3,20,15,0,30,50,10,0,0,0,10,0,20,10,30,5,0
19,20,30,40,70,0,100,60,34,18,40,24,10,20,6,5,11,7,0,13,30,40,21,6,61,38,0,10,52,77,10,70,9,3,19,60,9,66,71,38,0,0,61,0,19,13,37,50,36,11
5,7,10,0,30,55,65,0,0,20,35,45,20,25,30,45,25,35,20,8,35,10,17,0,16,15,25,35,45,35,15,25,15,25,0,35,0,0,100,0,24,26,35,15,20,25,15,10,5,10
17,18,9,8,15,15,7,4,6,15,10,5,5,15,20,10,9,7,10,4,9,15,5,10,5,15,9,5,10,20,5,14,5,2,10,8,5,9,25,7,4,12,10,8,15,5,15,15,7,7
25,30,15,30,20,20,15,20,9,15,25,20,25,20,30,40,20,15,20,10,20,40,25,30,30,30,25,20,30,40,10,20,25,20,40,35,20,40,30,25,5,30,20,30,50,30,50,30,15,30
28,9,14,67,24,15,34,6,3,25,11,10,8,16,9,70,19,8,9,15,21,8,10,8,12,23,9,16,35,51,8,24,5,5,76,25,7,14,16,30,0,0,59,5,39,29,29,28,23,10
33,14,16,44,45,75,57,24,25,56,25,30,14,18,25,61,15,8,17,19,71,24,40,25,24,20,56,21,15,60,15,61,35,37,36,11,7,61,75,45,18,24,80,31,80,50,21,25,21,6
10,8,15,50,65,30,41,20,23,15,71,32,11,18,27,65,25,19,15,15,12,30,15,30,15,20,50,23,25,60,20,23,28,26,61,36,10,75,22,33,16,11,25,40,100,31,21,30,5,8
14,13,21,60,72,39,60,25,15,39,15,10,19,20,30,30,72,20,30,14,62,31,4,21,63,41,40,10,29,61,61,57,11,10,41,20,14,41,32,30,31,21,41,14,40,31,63,23,20,15
8,14,8,0,35,0,13,13,0,34,20,20,9,0,20,28,3,12,6,0,8,30,0,30,20,19,19,7,19,40,3,20,10,30,51,19,15,41,100,19,12,0,51,11,34,3,10,33,9,8
30,10,18,19,51,20,62,16,29,30,8,10,4,29,30,70,20,19,10,30,31,19,34,30,30,30,18,9,20,62,15,51,21,8,9,20,2,30,51,33,52,18,62,40,51,51,30,30,18,14
30,15,20,30,30,10,5,10,9,20,19,30,10,5,35,90,5,10,10,15,15,10,20,5,10,15,10,9,8,19,10,20,5,5,30,35,5,24,15,20,9,20,20,40,15,30,20,30,10,20
15,3,10,35,20,20,35,15,15,25,7,10,20,8,10,40,10,5,8,10,25,15,20,10,30,20,5,5,10,30,10,10,10,5,25,15,3,15,60,10,5,5,20,15,40,30,20,30,18,5
59,35,27,79,83,80,37,21,24,64,64,78,36,51,58,51,53,48,24,35,83,36,50,49,69,51,64,51,39,51,29,70,84,87,72,49,27,51,76,51,24,19,63,16,73,51,60,71,20,51
54,38,34,35,52,29,37,52,52,37,41,32,30,34,31,63,85,35,46,52,52,39,26,53,29,52,36,21,52,53,33,52,52,39,42,52,38,36,53,52,42,36,28,52,68,28,47,37,38,32
25,5,10,20,15,5,0,10,15,5,15,0,5,5,5,10,3,2,2,0,0,20,2,0,30,20,5,10,5,25,5,0,5,3,30,0,10,0,40,5,5,20,10,5,10,15,40,10,5,40
